##########################################################################################
################################ Unigram Term Frequency Table ############################
##########################################################################################


   TERM                         |      TERM FREQUENCY
------------------------------------------------------------
   the                          |         126914
   of                           |         64445
   and                          |         44557
   in                           |         38183
   a                            |         32143
   to                           |         29768
   is                           |         19789
   as                           |         12660
   by                           |         11792
   on                           |         11067
   for                          |         10933
   was                          |         10372
   with                         |         10229
   that                         |         9940
   from                         |         8844
   are                          |         7974
   solar                        |         7429
   at                           |         7212
   it                           |         7210
   an                           |         6651
   or                           |         6097
   edit                         |         6012
   be                           |         5933
   this                         |         5773
   which                        |         5574
   eclipse                      |         5107
   moon                         |         4444
   were                         |         4388
   its                          |         4176
   have                         |         3842
   has                          |         3831
   also                         |         3696
   earth                        |         3376
   sun                          |         3322
   not                          |         3266
   one                          |         3233
   other                        |         3027
   when                         |         2990
   than                         |         2825
   first                        |         2791
   eclipses                     |         2739
   been                         |         2681
   but                          |         2631
   can                          |         2607
   between                      |         2589
   such                         |         2552
   most                         |         2486
   their                        |         2463
   about                        |         2392
   into                         |         2344
   years                        |         2312
   time                         |         2304
   these                        |         2284
   lunar                        |         2283
   during                       |         2283
   two                          |         2227
   more                         |         2219
   had                          |         2219
   all                          |         2180
   main                         |         2169
   they                         |         2134
   over                         |         2132
   1                            |         2131
   there                        |         2117
   his                          |         2103
   used                         |         2079
   may                          |         1950
   he                           |         1938
   some                         |         1937
   space                        |         1921
   after                        |         1908
   system                       |         1840
   only                         |         1772
   days                         |         1762
   2                            |         1761
   total                        |         1715
   through                      |         1711
   series                       |         1706
   new                          |         1676
   would                        |         1649
   century                      |         1609
   world                        |         1593
   will                         |         1582
   energy                       |         1567
   article                      |         1566
   many                         |         1561
   surface                      |         1491
   moons                        |         1485
   3                            |         1467
   known                        |         1452
   each                         |         1437
   where                        |         1411
   orbit                        |         1411
   4                            |         1409
   since                        |         1383
   part                         |         1368
   every                        |         1360
   around                       |         1349
   same                         |         1320
   light                        |         1297
   see                          |         1275
   however                      |         1262
   because                      |         1250
   power                        |         1246
   while                        |         1237
   magnetic                     |         1236
   number                       |         1226
   who                          |         1219
   partial                      |         1217
   field                        |         1216
   including                    |         1214
   occurs                       |         1212
   5                            |         1208
   period                       |         1196
   year                         |         1186
   state                        |         1182
   10                           |         1172
   stars                        |         1151
   states                       |         1144
   no                           |         1125
   11                           |         1125
   being                        |         1123
   both                         |         1116
   region                       |         1086
   so                           |         1082
   called                       |         1076
   water                        |         1072
   up                           |         1065
   due                          |         1063
   earths                       |         1034
   day                          |         1021
   wikipedia                    |         1018
   united                       |         1017
   three                        |         1006
   use                          |         990
   under                        |         989
   national                     |         989
   made                         |         985
   war                          |         973
   then                         |         973
   later                        |         971
   well                         |         968
   temperature                  |         958
   visible                      |         957
   early                        |         954
   high                         |         945
   s                            |         941
   large                        |         940
   south                        |         928
   bc                           |         922
   6                            |         916
   if                           |         913
   people                       |         909
   several                      |         900
   north                        |         895
   could                        |         894
   second                       |         890
   suns                         |         889
   15                           |         885
   any                          |         875
   times                        |         873
   european                     |         870
   within                       |         849
   approximately                |         848
   country                      |         847
   member                       |         841
   using                        |         840
   population                   |         839
   international                |         838
   government                   |         838
   before                       |         833
   city                         |         829
   wind                         |         828
   annular                      |         827
   7                            |         826
   much                         |         824
   history                      |         824
   air                          |         821
   12                           |         821
   french                       |         817
   out                          |         815
   form                         |         814
   near                         |         809
   saros                        |         808
   force                        |         805
   include                      |         804
   became                       |         803
   cycle                        |         800
   image                        |         798
   empire                       |         797
   very                         |         791
   until                        |         788
   july                         |         787
   small                        |         786
   8                            |         786
   hours                        |         780
   example                      |         780
   diameter                     |         772
   greek                        |         770
   largest                      |         765
   14                           |         763
   9                            |         759
   per                          |         758
   area                         |         757
   million                      |         754
   june                         |         752
   apollo                       |         752
   occur                        |         751
   18                           |         746
   france                       |         744
   point                        |         743
   major                        |         741
   mass                         |         740
   found                        |         740
   although                     |         738
   needed                       |         731
   20                           |         731
   month                        |         730
   different                    |         728
   following                    |         727
   bbc                          |         727
   british                      |         726
   them                         |         723
   often                        |         721
   sea                          |         720
   general                      |         717
   star                         |         712
   mission                      |         703
   according                    |         701
   semester                     |         700
   now                          |         698
   like                         |         697
   station                      |         688
   center                       |         682
   central                      |         681
   repeats                      |         675
   march                        |         671
   modern                       |         668
   calendar                     |         668
   related                      |         667
   spacecraft                   |         662
   seen                         |         661
   i                            |         660
   events                       |         658
   30                           |         658
   four                         |         657
   17                           |         657
   gas                          |         655
   totality                     |         654
   us                           |         652
   august                       |         650
   theory                       |         649
   13                           |         648
   distance                     |         646
   law                          |         645
   east                         |         640
   across                       |         639
   northern                     |         636
   based                        |         634
   europe                       |         633
   another                      |         633
   nasa                         |         632
   russian                      |         629
   film                         |         629
   january                      |         624
   list                         |         623
   given                        |         620
   de                           |         619
   end                          |         618
   radiation                    |         616
   path                         |         611
   october                      |         608
   apparent                     |         607
   ancient                      |         602
   among                        |         601
   21                           |         599
   name                         |         596
   19                           |         594
   data                         |         593
   kilometres                   |         587
   union                        |         582
   along                        |         581
   16                           |         581
   regions                      |         580
   april                        |         575
   particles                    |         574
   radio                        |         573
   language                     |         572
   citation                     |         572
   important                    |         571
   countries                    |         570
   november                     |         569
   thus                         |         566
   planets                      |         566
   average                      |         566
   minutes                      |         564
   systems                      |         563
   larger                       |         561
   those                        |         560
   line                         |         560
   still                        |         559
   september                    |         557
   result                       |         556
   full                         |         556
   december                     |         555
   effect                       |         553
   even                         |         552
   24                           |         552
   less                         |         549
   began                        |         549
   impact                       |         546
   german                       |         546
   further                      |         546
   observed                     |         544
   body                         |         543
   long                         |         538
   months                       |         537
   25                           |         533
   heat                         |         532
   kingdom                      |         530
   soviet                       |         528
   great                        |         527
